order_id,order_date,ship_date,ship_mode,customer_id
CA-2013-152156,2013-11-09,2013-11-12,Second Class,CG-12520
CA-2013-138688,2013-06-13,2013-06-17,Second Class,DV-13045
US-2012-108966,2012-10-11,2012-10-18,Standard Class,SO-20335
CA-2011-115812,2011-06-09,2011-06-14,Standard Class,BH-11710
CA-2014-114412,2014-04-16,2014-04-21,Standard Class,AA-10480
CA-2013-161389,2013-12-06,2013-12-11,Standard Class,IM-15070
US-2012-118983,2012-11-22,2012-11-26,Standard Class,HP-14815
CA-2011-105893,2011-11-11,2011-11-18,Standard Class,PK-19075
CA-2011-167164,2011-05-13,2011-05-15,Second Class,AG-10270
CA-2011-143336,2011-08-27,2011-09-01,Second Class,ZD-21925
CA-2013-137330,2013-12-10,2013-12-14,Standard Class,KB-16585
US-2014-156909,2014-07-17,2014-07-19,Second Class,SF-20065
CA-2012-106320,2012-09-25,2012-09-30,Standard Class,EB-13870
CA-2013-121755,2013-01-16,2013-01-20,Second Class,EH-13945
US-2012-150630,2012-09-17,2012-09-21,Standard Class,TB-21520
CA-2014-107727,2014-10-20,2014-10-24,Second Class,MA-17560
CA-2013-117590,2013-12-09,2013-12-11,First Class,GH-14485
CA-2012-117415,2012-12-27,2012-12-31,Standard Class,SN-20710
CA-2014-120999,2014-09-11,2014-09-16,Standard Class,LC-16930
CA-2013-101343,2013-07-18,2013-07-23,Standard Class,RA-19885
CA-2014-139619,2014-09-20,2014-09-24,Standard Class,ES-14080
CA-2013-118255,2013-03-12,2013-03-14,First Class,ON-18715
CA-2011-146703,2011-10-20,2011-10-25,Second Class,PO-18865
CA-2013-169194,2013-06-21,2013-06-26,Standard Class,LH-16900
CA-2012-115742,2012-04-18,2012-04-22,Standard Class,DP-13000
CA-2013-105816,2013-12-12,2013-12-18,Standard Class,JM-15265
CA-2013-111682,2013-06-18,2013-06-19,First Class,TB-21055
CA-2012-135545,2012-11-24,2012-11-30,Standard Class,KM-16720
US-2012-164175,2012-04-30,2012-05-05,Standard Class,PS-18970
CA-2011-106376,2011-12-05,2011-12-10,Standard Class,BS-11590
CA-2013-119823,2013-06-05,2013-06-07,First Class,KD-16270
CA-2013-106075,2013-09-19,2013-09-24,Standard Class,HM-14980
CA-2014-114440,2014-09-15,2014-09-18,Second Class,TB-21520
US-2012-134026,2012-04-26,2012-05-02,Standard Class,JE-15745
US-2014-118038,2014-12-10,2014-12-12,First Class,KB-16600
US-2011-147606,2011-11-26,2011-12-01,Second Class,JE-15745
